番号,shopname,category,全店,デジタル,中小,住所１,住所２,電話番号
886,かっぱ寿司 豊中上新田店,飲食店,〇,,,豊中市上新田4-5-5-2,,06-4860-6630
887,高級食パン専門店 朝起きたら君がいた,食料品(スーパー含む),〇,★,●,豊中市上新田4-7-10,,06-6369-7009
888,エディオン 豊中曽根店,電化製品,〇,★,●,豊中市曽根西町1-10-11,,06-6853-3906
889,小さな豚まんkesakichi,飲食店,〇,★,●,豊中市曽根西町1-10-17,,06-6842-7997
890,とりい歯科医院,医療福祉,〇,★,●,豊中市曽根西町1-10-9-102,,06-6845-1930
891,とまり木,飲食店,〇,★,●,豊中市曽根西町1-2-2,,06-7163-5225
892,ワイルドビートボクシングスポーツジム,サービス業 その他,〇,★,●,豊中市曽根西町1-2-2,1F,06-6857-5570
893,大旺寿し,飲食店,〇,,●,豊中市曽根西町1-2-4,,06-6853-2008
894,焼鳥・串焼き MALIBU,飲食店,〇,★,●,豊中市曽根西町1-2-5-102,,090-3708-2897
895,一品料理ゆき,飲食店,〇,★,●,豊中市曽根西町1-2-7,,090-5467-6996
896,la Casa hide,飲食店,〇,,●,豊中市曽根西町1-2-8,,06-6852-1113
897,創作和洋びすとろ 秋桜,飲食店,〇,,●,豊中市曽根西町1-4-22,曽根ハイホーム1F,06-6841-8554
898,レ・リヤン美容室,理美容,〇,★,●,豊中市曽根西町1-7-8,1F,06-6855-8282
899,ココカラファイン 曽根西店,ドラッグストア,〇,,,豊中市曽根西町1-9-25,,06-6854-2333
900,fulari cafe,飲食店,〇,★,●,豊中市曽根西町1-9-3,,06-6151-9889
901,オプトシック,小売業 その他,〇,★,●,豊中市曽根西町2-1-1,,06-6857-7337
902,コーデン社 曽根店,電化製品,〇,,●,豊中市曽根西町2-3-31,,06-6855-4026
903,サイクルショップ曽根,自動車・自転車,〇,,●,豊中市曽根西町2-3-31,,06-6853-3431
904,お好み焼ハウス アジジ,飲食店,〇,,●,豊中市曽根西町3-1-2,,06-6853-2065
905,リブクリーン・エクセレンスプログラム,小売業 その他,〇,★,●,豊中市曽根西町3-1-3,,06-6335-7519
906,パソコンサポート北摂,サービス業 その他,〇,★,●,豊中市曽根西町3-18-22,アゼスト豊中エアレジデンス303,06-6854-5441
907,こだわり焼鳥とおいしいお酒 森仁、,飲食店,〇,★,●,豊中市曽根西町3-5-33,,06-6152-6560
908,鮨西木,飲食店,〇,★,●,豊中市曽根西町3-5-33,サムズボックス90 102,070-8317-6069
909,アルファ美容室,理美容,〇,,●,豊中市曽根西町3-7-5-101,,06-6844-1893
910,シロダーラヘッドスパサロンKANDY.,サービス業 その他,〇,★,●,豊中市曽根東町2-2-4,セグント曽根10A,06-6864-6611
911,ふるさと広場 曽根店,食料品(スーパー含む),〇,★,●,豊中市曽根東町1-10-24,,06-6857-4039
912,千鳥屋宗家 曽根店,飲食店,〇,,●,豊中市曽根東町1-10-3,宮内マンション1F,06-6857-2144
913,肉バル29ヤネン!,飲食店,〇,★,●,豊中市曽根東町1-10-30,,06-6151-5228
914,LUCE for hair.,理美容,〇,★,●,豊中市曽根東町1-10-31,イーストアズワン1F,06-6843-1873
915,,飲食店,〇,,●,豊中市曽根東町1-10-34,駒ビル1F 06-6857-6070,麺や GENKOTSU
916,,その他の業種,〇,★,●,豊中市曽根東町1-10-34,駒ビル2F 06-6854-7717,肌質改善&アイラッシュサロン Chouchou
917,,理美容,〇,,●,豊中市曽根東町1-11-1,曽根ハイツ103 06-6852-8333,ヘアーサロン デュークス
918,,理美容,〇,,●,豊中市曽根東町1-11-1,曽根ハイツ104 06-6841-7127,ビューティーパーラーハセ川
919,,医療福祉,〇,★,●,豊中市曽根東町1-11-1,曽根ハイツ1F 06-4865-9669,ソネイチ鍼灸整骨院
920,,サービス業 その他,〇,★,●,豊中市曽根東町1-11-40,アヴィタシヨン曽根102 06-6857-3713,リンパケアサロン Sanctum
921,,サービス業 その他,〇,★,●,豊中市曽根東町1-11-50,1F 06-7709-0602,まちの自転車店リコ 曽根店
922,,理美容,〇,★,●,豊中市曽根東町1-1-30,サニーハイツ日興105 06-7161-9903,癒しどころ和-nagomi-
923,,医療福祉,〇,,●,豊中市曽根東町1-1-8,2F 06-6850-0345,ウラノマッサージ 曽根店
924,,サービス業 その他,〇,★,●,豊中市曽根東町1-4-3,050-5278-1403,空撮FLATLAND
925,,ドラッグストア,〇,,,豊中市曽根東町1-8-50,06-6852-8611,アルカドラッグ 阪急曽根店
926,,衣料品,〇,★,●,豊中市曽根東町1-9-25,ファミール曽根1F 06-6853-5815,リザー ファミール店
927,,小売業 その他,〇,,,豊中市曽根東町1-9-25-105,06-6866-3489,阪神調剤薬局 曽根東町店
928,,飲食店,〇,★,●,豊中市曽根東町2-12-13,ルモンド曽根B1 06-6866-1129,焼肉 高麗園
929,,飲食店,〇,★,●,豊中市曽根東町2-12-5, 06-6152-7969,EGO CAFÉ
930,,医療福祉,〇,★,●,豊中市曽根東町2-2-11-103,06-6848-5356,いわい整骨院
931,,飲食店,〇,★,●,豊中市曽根東町2-2-8,クレール曽根101 06-7222-1810,ぎょうざの天元
932,,飲食店,〇,★,●,豊中市曽根東町2-2-8,クレール曽根102 06-6868-5757,こいぞう
933,,飲食店,〇,★,●,豊中市曽根東町2-3-14,06-6863-7998,樹林
934,,理美容,〇,★,●,豊中市曽根東町2-3-16,コンテビル 06-6864-0132,アリカ美容室
935,,その他の業種,〇,★,●,豊中市曽根東町2-8-12,06-6865-0561,株式会社ツジカワ
936,,食料品(スーパー含む),〇,,,豊中市曽根東町3-1-1,06-6842-5040,KOHYO 阪急曽根店
937,,理美容,〇,★,●,豊中市曽根東町3-1-1,ティオ阪急曽根1F 06-6152-3011,ReSET 阪急曽根店
938,,小売業 その他,〇,★,●,豊中市曽根東町3-1-1,ティオ阪急曽根1F 06-6844-5355,ブックファースト 曽根店
939,,飲食店,〇,,●,豊中市曽根東町3-1-1,ティオ阪急曽根1F 06-6852-5570,ロッテリア 阪急曽根駅店
940,,ドラッグストア,〇,,,豊中市曽根東町3-2-1,06-6865-3339,ドラッグミック 曽根駅前店
941,,小売業 その他,〇,★,●,豊中市曽根東町3-2-1,ベルビュー曽根105 06-6862-0497,メガネのヤマデラ
942,,医療福祉,〇,★,●,豊中市曽根東町3-2-1,ベルビュー曽根106 06-6151-5215,整体院恵み豊中院
943,,食料品(スーパー含む),〇,,●,豊中市曽根東町3-2-1,ベルビュー曽根107 06-6862-2928,津の国屋 曽根店
944,,小売業 その他,〇,★,●,豊中市曽根東町3-2-1,ベルビュー曽根108 06-6855-8786,千里花壇 駅前店
945,,サービス業 その他,〇,★,●,豊中市曽根東町3-2-1,ベルビュー曽根205 06-6863-0125,豊中料理学園
946,,食料品(スーパー含む),〇,★,●,豊中市曽根東町3-2-1-104,06-6862-3844,ルフラン 曽根本店
947,,飲食店,〇,★,●,豊中市曽根東町3-2-1-110,06-4866-5770,讃岐うどん天兎
948,,飲食店,〇,★,●,豊中市曽根東町3-2-6,曽根駅前ビルディング 06-6864-6687,タンネ カフェ
949,,医療福祉,〇,★,●,豊中市曽根東町3-2-6,曽根駅前ビルディング103 06-6152-5741,曽根駅前歯科クリニック
950,,ショッピングセンター,〇,,,豊中市曽根東町3-3-1,06-6862-3232,ダイエー曽根店
951,,衣料品,〇,,●,豊中市曽根東町3-3-1,ダイエー曽根店5F 06-6862-6970,MICHIYA
952,,小売業 その他,〇,,,豊中市曽根東町3-3-1,ダイエー曽根店5F 06-6864-1841,メガネの愛眼 曽根店
953,,飲食店,〇,★,●,豊中市曽根東町3-3-1,ダイエー曽根店6F 06-7711-5657,あした葉
954,,サービス業 その他,〇,★,●,豊中市曽根東町3-3-22,ヴァイキング曽根ビル1F 06-6863-0031,Angela 曽根店
955,,理美容,〇,★,●,豊中市曽根東町3-3-22,ヴァイキング曽根ビル1F 06-6863-0005,sync 曽根店
956,,飲食店,〇,★,●,豊中市曽根東町3-3-22,ヴァイキング曽根ビル1F 06-6866-1541,食道園 曽根店
957,,理美容,〇,★,●,豊中市曽根東町3-4-18,イーストウッドビル 06-6866-8238,フーチークーチー 曽根本店
958,,理美容,〇,★,●,豊中市曽根東町3-4-18,イーストウッドビル3F 2号室 06-7713-0224,まつげ&目元美容専門店 ミラクル
959,,小売業 その他,〇,★,●,豊中市曽根東町3-5-3,コマウイング102 06-6868-0781,千里花壇 本店
960,,電化製品,〇,★,●,豊中市曽根東町3-5-3,コマウイング105 06-6862-5901,タシロデンキ
961,,理美容,〇,★,●,豊中市曽根東町3-5-3,コマウイング310 090-9873-6318,SHUKRAN
962,,サービス業 その他,〇,★,●,豊中市曽根東町3-5-3,コマウィング510 070-5506-3088,フットサロン リ・ソール
963,,飲食店,〇,★,●,豊中市曽根東町3-6-13,06-6865-8878,旬菜処 岡崎
964,,飲食店,〇,★,●,豊中市曽根東町3-7-2,豊中市立文化芸術センター内 06-4400-3760,ORION COFFEE
965,,飲食店,〇,★,●,豊中市曽根東町5-10-1,06-6842-9860,かみかわ珈琲焙煎所
966,,衣料品,〇,★,●,豊中市曽根東町5-7-13,グリーンリーフ曽根1F 06-6865-0036,Ricochet.
967,,衣料品,〇,★,●,豊中市曽根東町6-1-1,プラトンビル1F 06-6866-5751,アトリエプラトン
968,,小売業 その他,〇,,,豊中市曽根東町6-12-18,06-6866-6770,メガネの三城 豊中曽根店
969,,飲食店,〇,★,●,豊中市曽根東町6-2-5,06-7161-0672,大阪黒船屋 曽根店
970,,理美容,〇,★,●,豊中市曽根東町6-3-1,06-6863-1122,LILAHAIR
971,,サービス業 その他,〇,★,●,豊中市曽根東町6-9-4,06-6864-6395,スタークリーニング
972,,小売業 その他,〇,★,●,豊中市城山町1-10-1-202,090-5137-8898,一般社団法人 ハンドメイドキャンドル協会
973,,サービス業 その他,〇,,●,豊中市城山町1-10-18,06-4866-0182,八雲鍼灸整骨院
974,,飲食店,〇,★,●,豊中市城山町1-10-18,グリーンハイツ2 06-6862-3755,創作和食 たすく
975,,小売業 その他,〇,★,●,豊中市城山町1-1-25,06-6862-6910,読売センター 豊中中央
976,,医療福祉,〇,,,豊中市城山町1-9-1,06-6865-1211,社会医療法人北斗会 さわ病院
977,,食料品(スーパー含む),〇,,,豊中市城山町2-5-12,06-6864-6711,コープミニ 城山
978,,ドラッグストア,〇,,,豊中市城山町2-5-8,06-6864-7691,ココカラファイン 豊中城山店
979,,飲食店,〇,★,●,豊中市城山町2-7-2,城山荘1F 06-6398-7999,CAVOLO(カヴォロ)
980,,コンビニエンスストア,〇,,●,豊中市城山町2-7-30,06-6868-8777,ファミリーマート 豊中城山町店
981,,食料品(スーパー含む),〇,,●,豊中市城山町3-4-1-101,06-6865-1213,一眞堂
982,,飲食店,〇,,●,豊中市城山町3-4-1-103,06-6865-7500,喫茶 花林
983,,小売業 その他,〇,★,●,豊中市曽根南町1-20-25,06-6867-6101,カーテンじゅうたん王国 豊中店
984,,自動車・自転車,〇,★,●,豊中市曽根南町1-22-8,06-6865-5288,株式会社ガレージトニワン 曽根店
985,,自動車・自転車,〇,★,●,豊中市曽根南町1-5-4,06-6862-0648,サイクル フジオカ
986,,サービス業 その他,〇,★,●,豊中市曽根南町1-5-5,BBフラッツ101 06-6862-0011,とよなかカイロ
987,,飲食店,〇,★,●,豊中市曽根南町1-5-6,ウエストコア101 06-6210-6767,CHATASO
988,,小売業 その他,〇,,●,豊中市曽根南町2-12-13,06-6868-8666,有限会社NSRコーポレーション
989,,小売業 その他,〇,,●,豊中市曽根南町2-12-13,06-6868-8666,有限会社コモ
990,,飲食店,〇,★,●,豊中市曽根南町2-1-6,06-6862-4993,有限会社マキノ酒店
991,,その他の業種,〇,,●,豊中市曽根南町2-3-24,06-6864-3558,ホワイト急便 曽根店
992,,医療福祉,〇,★,●,豊中市曽根南町2-4-5,ジュエルハイツ曽根III 1F 06-6868-0777,片岡歯科医院
993,,その他の業種,〇,★,●,豊中市曽根南町3-10-7,06-6867-6100,白馬オート
994,,理美容,〇,★,●,豊中市曽根南町3-11-21,06-6865-0775,ヘアーサロン マスモリ
995,サーフプロジェクト,小売業 その他,〇,★,●,豊中市曽根南町3-3-1,曽根南ハイツ104,06-6864-0253
996,堺第一交通 豊中営業所,その他の業種,〇,,●,豊中市原田南1-10-6,,0570-01-0152
997,ラーメン工房 あ 豊中店,飲食店,〇,★,●,豊中市原田南1-13-11,,06-6865-2788
998,梅田交通第二株式会社,サービス業 その他,〇,★,●,豊中市原田南2-7-1,,06-6862-0444
999,デスクランド,家具・雑貨,〇,,●,豊中市原田中1-9-1,,06-6852-1780
1000,コムホワイト工場直売,食料品(スーパー含む),〇,★,●,豊中市原田中1-9-23,,06-6843-2050
1001,加藤商店,小売業 その他,〇,★,●,豊中市原田元町1-20-44,,06-6855-1231
1002,ジャパン 豊中曽根店,ドラッグストア,〇,,,豊中市原田元町3-3-10,,06-6857-5588
1003,株式会社阪急ドライビングスクール 服部緑地,サービス業 その他,〇,★,●,豊中市若竹町2-1-3,,06-6863-6767
1004,キリン堂 おぞね店,ドラッグストア,〇,,,豊中市北条町1-22-4,,06-6336-3535
1005,アトリエフレシュール,飲食店,〇,★,●,豊中市北条町1-22-7,1F,06-6335-6111
1006,株式会社ムセン電化,電化製品,〇,,●,豊中市北条町3-1-1,,06-6334-9033
1007,阪急オアシス 小曽根店,食料品(スーパー含む),〇,,,豊中市北条町3-2-34,,06-6332-5255
1008,御菓子司 京屋 小曽根店,食料品(スーパー含む),〇,★,●,豊中市小曽根1-10-43,ヒノデハイツ103,06-6336-8661
1009,C'ESTLAVIE*FUU,理美容,〇,★,●,豊中市小曽根1-11-18,永田マンション1F,0120-535-021
1010,カフェ ラ・ポンム,飲食店,〇,★,●,豊中市小曽根1-17-9,,06-6334-6204
1011,やまや&ダイソー 小曽根店,食料品(スーパー含む),〇,★,●,豊中市小曽根1-21-7,,06-6331-9500
1012,ブティック 萌,衣料品,〇,★,●,豊中市小曽根1-2-22,,06-6332-4718
1013,たきい畳店,その他の業種,〇,★,●,豊中市小曽根1-6-27,,06-6332-0809
1014,上田療術院,サービス業 その他,〇,★,●,豊中市小曽根2-1-6,,06-4981-2233
1015,ヘア-エステ カワグチ,理美容,〇,,●,豊中市小曽根2-18-5,,06-6331-0176
1016,ビット豊中,電化製品,〇,,●,豊中市小曽根2-2-11,,06-6334-4881
1017,株式会社山本モータース商会 ループインオゾネ,自動車・自転車,〇,,●,豊中市小曽根3-5-23,,06-6331-9680
1018,小曽根アンダンテピアノ教室,その他の業種,〇,★,●,豊中市小曽根3-7-6,稲田方,080-6151-5694
1019,行政書士事務所こころ,サービス業 その他,〇,★,●,豊中市小曽根4-12-9,,06-4867-1444
1020,洋服の青山 豊中小曽根店,衣料品,〇,,,豊中市小曽根4-1-5,,06-6336-8955
1021,はせ川米穀店,食料品(スーパー含む),〇,★,●,豊中市豊南町東1-2-2,,06-6332-1259
1022,ココカラファイン 豊中豊南店,ドラッグストア,〇,,,豊中市豊南町東3-1-20,,06-6335-0575
1023,万代 豊中豊南店,食料品(スーパー含む),〇,,,豊中市豊南町東3-1-20,,06-6334-7800
1024,宮島米穀燃料店,小売業 その他,〇,,●,豊中市豊南町南3-4-5,,06-6333-0337
1025,もりもとサイクルオート,自動車・自転車,〇,★,●,豊中市豊南町南3-5-16,,06-6331-3405
1026,喫茶 きりん,飲食店,〇,★,●,豊中市豊南町南4-5-2,,06-6334-5174
1027,有限会社キリン,その他の業種,〇,★,●,豊中市豊南町南4-5-2,,06-6334-1491
1028,エディオン 豊南でんき館,電化製品,〇,★,●,豊中市豊南町西2-10-13,,06-6842-7015
1029,ルカコ,小売業 その他,〇,★,●,豊中市豊南町西3-10-10,,06-7505-2841
1030,お好み焼 味幸,飲食店,〇,,●,豊中市豊南町西3-12-12,,06-6334-2218
1031,生鮮&業務スーパーボトルワールドOK 豊南店,食料品(スーパー含む),〇,,●,豊中市豊南町西3-14-12,,06-6332-3631
1032,本格炭火焼やきとり 鳥屋,飲食店,〇,★,●,豊中市豊南町西3-20-22,豊中シエラハウス101,06-6332-1398
1033,セブン-イレブン 豊中豊南西店,コンビニエンスストア,〇,★,●,豊中市豊南町西3-8-11,,06-6332-5957
1034,有限会社れんげ商会,自動車・自転車,〇,★,●,豊中市豊南町西5-2-50,,06-6336-0298
1035,貴船寿司,飲食店,〇,,●,豊中市浜1ー26ー10,,06-6332-7601
1036,コーヴォ ユキズ,衣料品,〇,★,●,豊中市浜1-23-29,,06-6332-2983
1037,御菓子司 京屋 浜店,食料品(スーパー含む),〇,★,●,豊中市浜1-25-11,,06-6334-5380
1038,セブン-イレブン 豊中浜1丁目店,コンビニエンスストア,〇,,●,豊中市浜1-25-3,,06-6334-7388
1039,あほや 小曽根店,飲食店,〇,★,●,豊中市浜1-26-13,,06-6331-6660
1040,大阪黒船屋 浜店,飲食店,〇,★,●,豊中市浜1-26-3,,06-6210-6820
1041,双和電機,電化製品,〇,★,●,豊中市浜1-27-11,,06-6332-1444
1042,大阪北部農業協同組合 小曽根支店,サービス業 その他,〇,,,豊中市浜1-27-15,,06-6331-0643
1043,アカシヤ 豊中浜店,食料品(スーパー含む),〇,,●,豊中市浜1-28-28,,06-6333-0655
1044,ほっかほっか亭 豊中浜店,小売業 その他,〇,,●,豊中市浜1-30-1,,06-6335-1531
1045,おそうじ革命 大阪支店,サービス業 その他,〇,★,●,豊中市浜1-30-1,RIZAビル1F,06-6335-4242
1046,ペット デリ,小売業 その他,〇,★,●,豊中市浜2-15-34,,06-6336-4007
1047,スギ薬局 豊中小曽根店,ドラッグストア,〇,,,豊中市浜2-17-5,,06-6152-6201
1048,Kitchen 篁月(KOH-GETSU),飲食店,〇,★,●,豊中市日出町2-1-25,,06-6332-5474
1049,喫茶・食事処 味華,飲食店,〇,,●,豊中市日出町2-1-25,,06-6332-5466
1050,エディオン 豊中店,電化製品,〇,,,豊中市日出町2-2-18,,06-4867-5335
1051,ライフ 三国橋店,食料品(スーパー含む),〇,,,豊中市日出町2-2-18,,06-6334-1200
1052,ベビーザらス 豊中店,小売業 その他,〇,★,●,豊中市日出町2-2-18,エディオン3F,06-6334-5865
1053,SCREW,理美容,〇,★,●,豊中市三国1-11-6,1F,06-6336-2342
1054,お好み焼き 一二三,飲食店,〇,★,●,豊中市三国2-2-9,,06-6331-0193
1055,インテリアミカ,小売業 その他,〇,★,●,豊中市三国2-4-4,,06-6335-0455
1056,ニトリ 豊中三国店,家具・雑貨,〇,,,豊中市神州町1-1,,06-6336-0611
1057,アルゴセブン,サービス業 その他,〇,,●,豊中市神州町1-15,アルゴセブンビル2F,06-6335-0033
1058,神州温泉 あるごの湯,サービス業 その他,〇,,●,豊中市神州町1-16,,06-6335-0035
1059,AOKI 豊中三国店,衣料品,〇,,,豊中市神州町1-50,,06-6335-0588
1060,ローソン 豊中神州町店,コンビニエンスストア,〇,★,●,豊中市神州町2-77,,06-6333-6400
1061,いまどきの髪形室,理美容,〇,★,●,豊中市大島町2-1-9,アスティオン大島103,06-6333-4776
1062,ボルダリングジム クロニコ,サービス業 その他,〇,★,●,豊中市大島町3-11-43,,050-7129-0552
1063,ブリヂストン北大阪TRC株式会社,自動車・自転車,〇,★,●,豊中市二葉町2-6-38,,06-4867-5000
1064,スーパーオートバックス・豊中庄内,小売業 その他,〇,,,豊中市島江町1-1-1,,06-6335-1047
1065,キリン堂 豊中島江店,ドラッグストア,〇,,,豊中市島江町1-1-22,,06-4867-5800
1066,本家かまどや 島江店,飲食店,〇,★,●,豊中市島江町1-3,グリーンタウン島江1号棟,06-6334-3466
1067,ザ・じてんしゃ屋 庄内店,自動車・自転車,〇,★,●,豊中市島江町1-3-1,グリーンタウン豊中島江1F,06-6334-8505
1068,ディファーレ,理美容,〇,★,●,豊中市島江町1-3-1-108,,06-6334-0012
1069,ホームセンターコーナン 豊中島江店,小売業 その他,〇,,,豊中市島江町1-3-22,,06-6331-2750
1070,とんかつかつ喜 豊中南店,飲食店,〇,,●,豊中市島江町1-3-29,,06-6335-5656
1071,大道酒店,小売業 その他,〇,,●,豊中市島江町2-9-6,,06-6332-0716
1072,(株)谷口風呂住設&リフォーム,その他の業種,〇,★,●,豊中市大黒町1-1-8,,0120-701-540
1073,関西スーパー 豊中南店,食料品(スーパー含む),〇,,,豊中市大黒町1-20-1,,06-6331-6606
1074,バラエティ100(関西スーパー豊中南店),小売業 その他,〇,,●,豊中市大黒町1-20-1,関西スーパー豊中南店,06-6334-1770
1075,花ファクトリー(関西スーパー豊中南店),小売業 その他,〇,,●,豊中市大黒町1-20-1,関西スーパー豊中南店,080-9500-4077
1076,金比羅製麺 豊中大黒店,飲食店,〇,★,●,豊中市大黒町1-20-1,関西スーパー豊中南店,06-6336-6600
1077,最上(関西スーパー豊中南店),飲食店,〇,,●,豊中市大黒町1-20-1,関西スーパー豊中南店,06-6332-1333
1078,カギのトラブル特急隊,サービス業 その他,〇,★,●,豊中市大黒町1-7-1,,0120-066-269
1079,わたぬき輪業,自動車・自転車,〇,★,●,豊中市大黒町2-15-16,,06-6331-5946
1080,ヒカリ珈琲,飲食店,〇,★,●,豊中市三和町1-3-15,1F,06-6333-5911
1081,かっぱ寿司 豊中庄内店,飲食店,〇,,,豊中市三和町2-2-3,,06-4867-7737
1082,サイクルベースあさひ 庄内店,自動車・自転車,〇,,,豊中市三和町2-7-55,,06-6336-2232
1083,焼肉 薩摩,飲食店,〇,★,●,豊中市千成町2-7-10,,06-6333-8540
1084,大道酒店,小売業 その他,〇,★,●,豊中市千成町2-7-17,,06-6331-4332
1085,業務スーパーTAKENOKO 千成店,食料品(スーパー含む),〇,★,●,豊中市千成町2-7-4,,06-6335-0308
1086,石黒米穀店,食料品(スーパー含む),〇,★,●,豊中市千成町3-4-41,,06-6331-2245
1087,nikul,理美容,〇,★,●,豊中市庄内東町1-1-10,清常ビル1F nikul,06-6836-9353
1088,マルイチ商店,小売業 その他,〇,★,●,豊中市庄内東町1-4-24,,06-6333-0054
1089,魚佳水産,食料品(スーパー含む),〇,,●,豊中市庄内東町1-4-3,アメニティ豊中1F,06-6331-5133
1090,かいごのがっこう ベストウェイケアアカデミー,サービス業 その他,〇,★,●,豊中市庄内東町1-7-10,庄内ドイビル,06-6335-3288
1091,くじらの田井,食料品(スーパー含む),〇,★,●,豊中市庄内東町1-7-19,豊南市場内,06-6332-6460
1092,スギ薬局 庄内東店,ドラッグストア,〇,,,豊中市庄内東町1-7-19,豊南市場内,06-6151-2637
1093,まるごかまぼこ商店,小売業 その他,〇,★,●,豊中市庄内東町1-7-19,豊南市場内,06-6331-1001
1094,宇治豊香園,小売業 その他,〇,★,●,豊中市庄内東町1-7-19,豊南市場内,06-6331-4532
1095,栄大食品,小売業 その他,〇,★,●,豊中市庄内東町1-7-19,豊南市場内,06-6331-5032
1096,塩干やなせ,食料品(スーパー含む),〇,★,●,豊中市庄内東町1-7-19,豊南市場内,06-6331-3208
1097,丸新菓子店,小売業 その他,〇,★,●,豊中市庄内東町1-7-19,豊南市場内,06-6331-2228
1098,吉秀榮壽堂,小売業 その他,〇,,●,豊中市庄内東町1-7-19,豊南市場内,06-6331-2904
1099,魚英商店 豊南市場内,食料品(スーパー含む),〇,★,●,豊中市庄内東町1-7-19,豊南市場内,06-6334-8775
1100,魚重鮮魚店,小売業 その他,〇,★,●,豊中市庄内東町1-7-19,豊南市場内,06-6333-9512
1101,高橋商店,食料品(スーパー含む),〇,,●,豊中市庄内東町1-7-19,豊南市場内,06-6332-4454
1102,生田生花店,小売業 その他,〇,★,●,豊中市庄内東町1-7-19,豊南市場内,06-6331-3068
1103,淡路屋,小売業 その他,〇,★,●,豊中市庄内東町1-7-19,豊南市場内,06-6333-6050
1104,長谷正(有) 豊南市場1号店,小売業 その他,〇,★,●,豊中市庄内東町1-7-19,豊南市場内,06-6332-9011
1105,長谷正(有) 豊南市場2号店,小売業 その他,〇,★,●,豊中市庄内東町1-7-19,豊南市場内,06-6332-9011
1106,鳥富(有),食料品(スーパー含む),〇,,●,豊中市庄内東町1-7-19,豊南市場内,06-6331-2226
1107,肉のさかえ,食料品(スーパー含む),〇,,●,豊中市庄内東町1-7-19,豊南市場内,06-6331-7003
1108,豊市商店,食料品(スーパー含む),〇,★,●,豊中市庄内東町1-7-19,豊南市場内,06-6335-0262
1109,豊南寿司,小売業 その他,〇,,●,豊中市庄内東町1-7-19,豊南市場内,06-6331-4844
1110,北本商店,食料品(スーパー含む),〇,,●,豊中市庄内東町1-7-19,豊南市場内,06-6332-4044
1111,山本米穀店,食料品(スーパー含む),〇,,●,豊中市庄内東町1-7-20,カーサクワドリフォリオ1F,06-6333-2031
1112,カリトロ 庄内店,飲食店,〇,★,●,豊中市庄内東町1-7-22,,06-6333-1227
1113,株式会社日の出フーズ,食料品(スーパー含む),〇,★,●,豊中市庄内東町1-7-22,,06-6334-2941
1114,アローム 庄内店,小売業 その他,〇,,●,豊中市庄内東町1-7-27,,06-6331-4960
1115,ビストロ アンフィニ,飲食店,〇,★,●,豊中市庄内東町1-7-27,イーグルビル2F,06-6335-1052
1116,メガネのファミリア,小売業 その他,〇,★,●,豊中市庄内東町1-7-28,,06-6331-1003
1117,1122-富久田や,飲食店,〇,★,●,豊中市庄内東町1-7-38,,06-6842-9711
1118,シューズハンキュー,小売業 その他,〇,,●,豊中市庄内東町1-9-13,,06-6332-3125
1119,長谷正(有) 本店,小売業 その他,〇,★,●,豊中市庄内東町1-9-13,,06-6332-9011
1120,まつだ,食料品(スーパー含む),〇,★,●,豊中市庄内東町1-9-14,,06-6336-0033
1121,肉の雅屋 庄内東町店,食料品(スーパー含む),〇,,●,豊中市庄内東町1-9-16,,06-6332-2229
1122,スパイス食堂ナムナム,飲食店,〇,★,●,豊中市庄内東町1-9-17,,06-6331-5577
1123,フラワーショップ 水彩えのぐ,小売業 その他,〇,★,●,豊中市庄内東町1-9-18,,06-6336-0041
1124,himawari-富久田や,飲食店,〇,★,●,豊中市庄内東町1-9-19,,06-6336-3600
1125,長谷正(有) 北店厨房店,小売業 その他,〇,★,●,豊中市庄内東町1-9-2,,06-6333-7275
1126,マルイチ商店,小売業 その他,〇,★,●,豊中市庄内東町1-9-3,,06-6333-0054
1127,幻のいか焼き いか太郎,食料品(スーパー含む),〇,,●,豊中市庄内東町2-1-23,,080-6143-5315
1128,KURUKURU,衣料品,〇,★,●,豊中市庄内東町2-1-23,誠宏ビル1F,06-6332-5005
1129,公益社団法人豊中市シルバー人材センター 庄内支所,サービス業 その他,〇,,●,豊中市庄内東町2-1-4,豊中市役所庄内駅前庁舎内,06-6151-5100
1130,肉ふじ,食料品(スーパー含む),〇,★,●,豊中市庄内東町2-1-5,,06-6333-2941
1131,ミカワ薬局,小売業 その他,〇,★,●,豊中市庄内東町2-1-6,,06-6331-1748
1132,立浪一番,飲食店,〇,,●,豊中市庄内東町2-1-6,,06-6334-6227
1133,天丼天喜 庄内駅前店,飲食店,〇,★,●,豊中市庄内東町2-2-1,,06-6334-0080
1134,中国郷菜 壺厨天,飲食店,〇,★,●,豊中市庄内東町2-2-13,,06-6151-9680
1135,山系無双 三屋 烈火,飲食店,〇,★,●,豊中市庄内東町2-2-14,,06-7163-4417
1136,楽八 庄内駅前店,飲食店,〇,★,●,豊中市庄内東町2-2-2,,06-6331-7645
1137,お好み焼き どんどん,飲食店,〇,★,●,豊中市庄内東町2-2-7,,06-6331-6006
1138,ゲストハウス日本宿屋168(Hostel J Culture168),宿泊施設,〇,★,●,豊中市庄内東町2-3-11,第2サンライズビル3F,06-7709-1608
1139,明治牛乳 庄内販売店,小売業 その他,〇,★,●,豊中市庄内東町2-3-6,,06-6331-1172
1140,la Etoile,衣料品,〇,★,●,豊中市庄内東町2-3-7,,06-6210-6764
